Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2712;Konstanz;RS_IND;03.12.2008-13:00;03.12.2008-14:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;29.06.2011-12:00;29.06.2011-13:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;29.06.2011-19:00;30.06.2011-07:00;12;;eor;                                                                                                                                         
2712;Konstanz;RS_IND;04.09.2017-05:00;04.09.2017-06:00;1;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;14.09.2017-08:00;14.09.2017-14:00;6;;eor;                                                                                                                                          
2712;Konstanz;RS_IND;14.09.2017-16:00;15.09.2017-03:00;11;;eor;                                                                                                                                         
2712;Konstanz;RS_IND;15.09.2017-12:00;16.09.2017-03:00;15;;eor;                                                                                                                                         
2712;Konstanz;RS_IND;16.09.2017-16:00;17.09.2017-03:00;11;;eor;                                                                                                                                         
2712;Konstanz;RS_IND;17.09.2017-16:00;18.09.2017-03:00;11;;eor;                                                                                                                                         
2712;Konstanz;RS_IND;14.12.2019-12:00;15.12.2019-05:00;17;;eor;                                                                                                                                         
2712;Konstanz;RS_IND;15.12.2019-07:00;16.12.2019-18:00;35;;eor;                                                                                                                                         
2712;Konstanz;WRTR;04.04.2001-11:00;04.04.2001-15:00;4;;eor;                                                                                                                                            
2712;Konstanz;WRTR;07.04.2001-06:00;07.04.2001-07:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;10.04.2001-08:00;10.04.2001-09:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;18.04.2001-12:00;18.04.2001-13:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;19.04.2001-06:00;19.04.2001-07:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;28.04.2001-08:00;28.04.2001-09:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;08.05.2001-08:00;08.05.2001-09:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;11.05.2001-12:00;11.05.2001-13:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;23.05.2001-17:00;23.05.2001-19:00;2;;eor;                                                                                                                                            
2712;Konstanz;WRTR;26.05.2001-21:00;26.05.2001-22:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;07.06.2001-17:00;07.06.2001-18:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;12.06.2001-18:00;12.06.2001-19:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;13.06.2001-18:00;13.06.2001-19:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;14.06.2001-12:00;14.06.2001-13:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;24.06.2001-06:00;24.06.2001-07:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;28.06.2001-00:00;28.06.2001-01:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;10.07.2001-00:00;10.07.2001-01:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;17.07.2001-00:00;17.07.2001-01:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;26.07.2001-00:00;26.07.2001-03:00;3;;eor;                                                                                                                                            
2712;Konstanz;WRTR;03.08.2001-00:00;03.08.2001-01:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;04.08.2001-02:00;04.08.2001-03:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;14.08.2001-08:00;14.08.2001-09:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;21.08.2001-15:00;21.08.2001-16:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;02.09.2001-15:00;02.09.2001-16:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;22.09.2001-03:00;22.09.2001-04:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;23.09.2001-05:00;23.09.2001-06:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;24.09.2001-14:00;24.09.2001-15:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;24.09.2001-17:00;24.09.2001-18:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;14.11.2001-11:00;14.11.2001-12:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;11.12.2001-15:00;11.12.2001-16:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;30.12.2001-00:00;30.12.2001-01:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;04.01.2002-06:00;04.01.2002-07:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;07.02.2002-11:00;07.02.2002-12:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;08.02.2002-03:00;08.02.2002-04:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;16.02.2002-15:00;16.02.2002-16:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;19.02.2002-21:00;19.02.2002-22:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;20.02.2002-06:00;20.02.2002-07:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;23.02.2002-20:00;23.02.2002-21:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;12.03.2002-15:00;12.03.2002-16:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;21.03.2002-15:00;21.03.2002-16:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;22.03.2002-09:00;22.03.2002-12:00;3;;eor;                                                                                                                                            
2712;Konstanz;WRTR;27.03.2002-23:00;28.03.2002-00:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;06.04.2002-15:00;06.04.2002-16:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;17.04.2002-02:00;17.04.2002-03:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;14.05.2002-14:00;14.05.2002-15:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;07.06.2002-17:00;07.06.2002-18:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;29.06.2002-06:00;29.06.2002-07:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;31.07.2002-21:00;31.07.2002-22:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;04.08.2002-23:00;05.08.2002-00:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;19.08.2002-02:00;19.08.2002-03:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;17.09.2002-20:00;17.09.2002-21:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;16.10.2002-05:00;16.10.2002-06:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;26.10.2002-06:00;26.10.2002-07:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;14.11.2002-05:00;14.11.2002-06:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;22.11.2002-12:00;22.11.2002-13:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;27.11.2002-08:00;27.11.2002-09:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;28.11.2002-18:00;28.11.2002-19:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;06.12.2002-23:00;07.12.2002-00:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;26.12.2002-15:00;26.12.2002-16:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;06.01.2003-02:00;06.01.2003-03:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;25.01.2003-02:00;25.01.2003-03:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;19.02.2003-06:00;19.02.2003-07:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;03.03.2003-17:00;03.03.2003-18:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;08.04.2003-21:00;08.04.2003-22:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;16.04.2003-12:00;16.04.2003-13:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;08.05.2003-11:00;08.05.2003-12:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;11.06.2003-21:00;11.06.2003-22:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;15.07.2003-15:00;15.07.2003-16:00;1;;eor;                                                                                                                                            
2712;Konstanz;WRTR;02.08.2003-14:00;02.08.2003-15:00;1;;eor;                                                                                                                                            
